ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
161936,Pandemic Legacy: Season 1,2015,1,8.67,8.5,21822,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/images/pic2452831_mt.png
174430,Gloomhaven,2017,2,9.03,8.394,6673,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/images/pic2437871_mt.jpg
182028,Through the Ages: A New Story of Civilization,2015,3,8.68,8.329,9874,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/images/pic2663291_mt.jpg
12333,Twilight Struggle,2005,4,8.35,8.214,29258,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/images/pic361592_mt.jpg
167791,Terraforming Mars,2016,5,8.38,8.161,17728,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/images/pic3536616_mt.jpg
187645,Star Wars: Rebellion,2016,6,8.5,8.16,10915,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/images/pic2737530_mt.png
120677,Terra Mystica,2012,7,8.28,8.133,26786,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/images/pic1356616_mt.jpg
169786,Scythe,2016,8,8.29,8.087,22332,/boardgame/169786/scythe,https://cf.geekdo-images.com/images/pic3163924_mt.jpg
173346,7 Wonders Duel,2015,9,8.16,8.014,26300,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/images/pic3376065_mt.jpg
84876,The Castles of Burgundy,2011,10,8.11,7.999,28105,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/images/pic1176894_mt.jpg
193738,Great Western Trail,2016,11,8.28,7.989,9743,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/images/pic3113247_mt.jpg
102794,Caverna: The Cave Farmers,2013,12,8.15,7.978,19044,/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/images/pic1790789_mt.jpg
115746,War of the Ring (Second Edition),2012,13,8.39,7.976,7181,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/images/pic1215633_mt.jpg
3076,Puerto Rico,2002,14,8.08,7.965,50424,/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/images/pic158548_mt.jpg
31260,Agricola,2007,15,8.04,7.943,50972,/boardgame/31260/agricola,https://cf.geekdo-images.com/images/pic259085_mt.jpg
96848,Mage Knight Board Game,2011,16,8.13,7.929,19924,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/images/pic1083380_mt.jpg
170216,Blood Rage,2015,17,8.12,7.913,17480,/boardgame/170216/blood-rage,https://cf.geekdo-images.com/images/pic2439223_mt.jpg
205637,Arkham Horror: The Card Game,2016,18,8.32,7.898,8713,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/images/pic3122349_mt.jpg
25613,Through the Ages: A Story of Civilization,2006,19,8.06,7.889,15858,/boardgame/25613/through-ages-story-civilization,https://cf.geekdo-images.com/images/pic236169_mt.jpg
205059,Mansions of Madness: Second Edition,2016,20,8.25,7.884,9416,/boardgame/205059/mansions-madness-second-edition,https://cf.geekdo-images.com/images/pic3118622_mt.jpg
209010,Mechs vs. Minions,2016,21,8.28,7.878,7384,/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/images/pic3184103_mt.jpg
164153,Star Wars: Imperial Assault,2014,22,8.16,7.866,12754,/boardgame/164153/star-wars-imperial-assault,https://cf.geekdo-images.com/images/pic2247647_mt.jpg
2651,Power Grid,2004,23,7.93,7.842,44495,/boardgame/2651/power-grid,https://cf.geekdo-images.com/images/pic173153_mt.jpg
183394,Viticulture Essential Edition,2015,24,8.16,7.842,8370,/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/images/pic2649952_mt.jpg
164928,Orléans,2014,25,8.09,7.842,10760,/boardgame/164928/orleans,https://cf.geekdo-images.com/images/pic2578828_mt.png
72125,Eclipse,2011,26,7.99,7.834,21581,/boardgame/72125/eclipse,https://cf.geekdo-images.com/images/pic1974056_mt.jpg
124361,Concordia,2013,27,8.04,7.834,12542,/boardgame/124361/concordia,https://cf.geekdo-images.com/images/pic3453267_mt.jpg
175914,Food Chain Magnate,2015,28,8.24,7.824,6252,/boardgame/175914/food-chain-magnate,https://cf.geekdo-images.com/images/pic2649434_mt.png
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,29,7.98,7.81,20764,/boardgame/121921/robinson-crusoe-adventures-cursed-island,https://cf.geekdo-images.com/images/pic3165731_mt.jpg
28720,Brass: Lancashire,2007,30,8.01,7.799,11119,/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/images/pic3469216_mt.jpg
35677,Le Havre,2008,31,7.92,7.789,20188,/boardgame/35677/le-havre,https://cf.geekdo-images.com/images/pic3330230_mt.jpg
126163,Tzolk'in: The Mayan Calendar,2012,32,7.94,7.788,19657,/boardgame/126163/tzolk-mayan-calendar,https://cf.geekdo-images.com/images/pic1413480_mt.jpg
177736,A Feast for Odin,2016,33,8.22,7.786,6195,/boardgame/177736/feast-odin,https://cf.geekdo-images.com/images/pic3146943_mt.png
124742,Android: Netrunner,2012,34,7.96,7.777,21609,/boardgame/124742/android-netrunner,https://cf.geekdo-images.com/images/pic1324609_mt.jpg
178900,Codenames,2015,35,7.84,7.742,36212,/boardgame/178900/codenames,https://cf.geekdo-images.com/images/pic2582929_mt.jpg
146508,T.I.M.E Stories,2015,36,7.96,7.742,13325,/boardgame/146508/time-stories,https://cf.geekdo-images.com/images/pic2617634_mt.png
171623,The Voyages of Marco Polo,2015,37,7.98,7.737,10968,/boardgame/171623/voyages-marco-polo,https://cf.geekdo-images.com/images/pic2461346_mt.png
122515,Keyflower,2012,38,7.92,7.733,13031,/boardgame/122515/keyflower,https://cf.geekdo-images.com/images/pic2278942_mt.jpg
68448,7 Wonders,2010,39,7.82,7.73,56715,/boardgame/68448/7-wonders,https://cf.geekdo-images.com/images/pic860217_mt.jpg
180263,The 7th Continent,2017,40,8.81,7.717,2974,/boardgame/180263/7th-continent,https://cf.geekdo-images.com/images/pic2648303_mt.jpg
18602,Caylus,2005,41,7.84,7.702,22696,/boardgame/18602/caylus,https://cf.geekdo-images.com/images/pic1638795_mt.jpg
12493,Twilight Imperium (Third Edition),2005,42,7.92,7.698,15949,/boardgame/12493/twilight-imperium-third-edition,https://cf.geekdo-images.com/images/pic50404_mt.jpg
146021,Eldritch Horror,2013,43,7.92,7.694,18508,/boardgame/146021/eldritch-horror,https://cf.geekdo-images.com/images/pic1872452_mt.jpg
28143,Race for the Galaxy,2007,44,7.77,7.678,36261,/boardgame/28143/race-galaxy,https://cf.geekdo-images.com/images/pic236327_mt.jpg
110327,Lords of Waterdeep,2012,45,7.79,7.676,31955,/boardgame/110327/lords-waterdeep,https://cf.geekdo-images.com/images/pic1116080_mt.jpg
62219,Dominant Species,2010,46,7.85,7.67,13683,/boardgame/62219/dominant-species,https://cf.geekdo-images.com/images/pic784193_mt.jpg
163412,Patchwork,2014,47,7.79,7.667,23229,/boardgame/163412/patchwork,https://cf.geekdo-images.com/images/pic2270442_mt.jpg
55690,Kingdom Death: Monster,2015,48,9,7.666,3412,/boardgame/55690/kingdom-death-monster,https://cf.geekdo-images.com/images/pic2931007_mt.jpg
157354,Five Tribes,2014,49,7.81,7.665,19999,/boardgame/157354/five-tribes,https://cf.geekdo-images.com/images/pic2055255_mt.jpg
132531,Roll for the Galaxy,2014,50,7.82,7.661,16708,/boardgame/132531/roll-galaxy,https://cf.geekdo-images.com/images/pic1473629_mt.jpg
93,El Grande,1995,51,7.8,7.66,19270,/boardgame/93/el-grande,https://cf.geekdo-images.com/images/pic180538_mt.jpg
40834,Dominion: Intrigue,2009,52,7.78,7.651,24347,/boardgame/40834/dominion-intrigue,https://cf.geekdo-images.com/images/pic460011_mt.jpg
150376,Dead of Winter: A Crossroads Game,2014,53,7.8,7.65,26144,/boardgame/150376/dead-winter-crossroads-game,https://cf.geekdo-images.com/images/pic3016500_mt.jpg
159675,Fields of Arle,2014,54,8.2,7.65,4208,/boardgame/159675/fields-arle,https://cf.geekdo-images.com/images/pic2225968_mt.png
103885,Star Wars: X-Wing Miniatures Game,2012,55,7.85,7.637,18187,/boardgame/103885/star-wars-x-wing-miniatures-game,https://cf.geekdo-images.com/images/pic1603292_mt.jpg
201808,Clank!: A Deck-Building Adventure,2016,56,7.98,7.636,8017,/boardgame/201808/clank-deck-building-adventure,https://cf.geekdo-images.com/images/pic3056966_mt.jpg
37111,Battlestar Galactica: The Board Game,2008,57,7.76,7.625,26773,/boardgame/37111/battlestar-galactica-board-game,https://cf.geekdo-images.com/images/pic354500_mt.jpg
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,58,7.84,7.597,10297,/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,https://cf.geekdo-images.com/images/pic3514298_mt.jpg
172386,Mombasa,2015,59,7.97,7.597,6110,/boardgame/172386/mombasa,https://cf.geekdo-images.com/images/pic2611318_mt.jpg
144733,Russian Railroads,2013,60,7.81,7.586,9990,/boardgame/144733/russian-railroads,https://cf.geekdo-images.com/images/pic1772936_mt.jpg
36218,Dominion,2008,61,7.68,7.586,59712,/boardgame/36218/dominion,https://cf.geekdo-images.com/images/pic394356_mt.jpg
102680,Trajan,2011,62,7.8,7.583,10608,/boardgame/102680/trajan,https://cf.geekdo-images.com/images/pic1054375_mt.jpg
73439,Troyes,2010,63,7.76,7.58,12342,/boardgame/73439/troyes,https://cf.geekdo-images.com/images/pic750583_mt.jpg
42,Tigris & Euphrates,1997,64,7.71,7.58,21075,/boardgame/42/tigris-euphrates,https://cf.geekdo-images.com/images/pic2338267_mt.jpg
30549,Pandemic,2008,65,7.66,7.575,68543,/boardgame/30549/pandemic,https://cf.geekdo-images.com/images/pic1534148_mt.jpg
194655,Santorini,2016,66,7.9,7.566,7659,/boardgame/194655/santorini,https://cf.geekdo-images.com/images/pic3283110_mt.png
